,size,H,name,slope,intercept,r_value
146,23500,0.8,0.80_3,0.6074631290889293,30.659068466645166,0.1897287876272994
147,24000,0.8,0.80_3,0.5001144178157617,46.543722054899256,0.1619971130629243
148,24500,0.8,0.80_3,0.4825791719996246,48.82471630743698,0.16838029620277548
149,25000,0.8,0.80_3,0.4737853884248398,49.92571734729144,0.17964911664363745
150,500,0.8,0.80_4,0.7598489595251235,51.25884984327604,0.19279284281813341
151,1000,0.8,0.80_4,-0.6703356232313961,73.94684789486578,-0.3999640014330449
152,1500,0.8,0.80_4,-0.23710486586217644,65.92038700573804,-0.17116799399413055
153,2000,0.8,0.80_4,-0.33462095108300527,68.9597458403621,-0.2889511187366501
154,2500,0.8,0.80_4,-0.33010165809193726,67.41923487376943,-0.27628014452023
155,3000,0.8,0.80_4,-0.31780817614777823,64.86153995169647,-0.25475394984927474
156,3500,0.8,0.80_4,-0.2484871421946899,66.12828211140457,-0.15588016037456537
157,4000,0.8,0.80_4,-0.16057117832037887,55.804467155762865,-0.10294343328816807
158,4500,0.8,0.80_4,-0.3020295097588982,73.20997211926228,-0.1711339777362833
159,5000,0.8,0.80_4,-0.22527338528997679,83.75561027775417,-0.07827450689235296
160,5500,0.8,0.80_4,-0.2064553734490421,78.40143157554382,-0.07106986998448407
161,6000,0.8,0.80_4,-0.014645981850476737,61.85513006645364,-0.00553587276535187
162,6500,0.8,0.80_4,0.016712604169326614,60.49481953939891,0.007447210377577924
163,7000,0.8,0.80_4,-0.020015059532002305,64.84404993545895,-0.009963730037312964
164,7500,0.8,0.80_4,-0.06591734412413688,70.82070496999832,-0.032801392831378534
165,8000,0.8,0.80_4,-0.12219474086132644,77.8770748566059,-0.05624113354573376
166,8500,0.8,0.80_4,-0.004713602095393953,70.28356893408709,-0.002418332458283715
167,9000,0.8,0.80_4,0.0703909552192661,66.12066027737326,0.041455233529913156
168,9500,0.8,0.80_4,-0.07118452534046699,74.67694493731113,-0.04660473869444729
169,10000,0.8,0.80_4,-0.2219651291648144,84.82763823521726,-0.13591318171578542
170,10500,0.8,0.80_4,-0.3251450205240045,96.44634155710837,-0.16969997064420625
171,11000,0.8,0.80_4,-0.40482271173858686,109.99738898888066,-0.1712418023550959
